t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788834751,400637832,200310,0,1
1788834752,401647327,200815,0,1
1788834753,402657688,201320,0,1
1788834754,403665315,201824,0,1
1788834755,404673252,202328,0,1
1788834756,405685394,202834,0,1
1788834757,406697580,203340,0,1
1788834758,407707699,203845,0,1
1788834759,408719657,204351,0,1
1788834760,409733634,204858,0,1
1788834761,410745738,205364,0,1
1788834762,411755864,205869,0,1
1788834763,412767792,206375,0,1
1788834764,413779544,206881,0,1
1788834765,414791553,207387,0,1
1788834766,415804027,207893,0,1
1788834767,416813859,208398,0,1
1788834768,417825307,208904,0,1
1788834769,418837376,209410,0,1
1788834770,419849799,209916,0,1
1788834771,420859322,210421,0,1
1788834772,421869706,210926,0,1
1788834773,422877866,211430,0,1
1788834774,423887675,211935,0,1
1788834775,424901759,212442,0,1
1788834776,425913883,212948,0,1
1788834777,426923493,213453,0,1
1788834778,427933837,213958,0,1
1788834779,428947746,214465,0,1
1788834780,429959845,214971,0,1
1788834781,430969517,215476,0,1
1788834782,431981723,215982,0,1
1788834783,432993628,216488,0,1
1788834784,434005749,216994,0,1
1788834785,435017701,217500,0,1
1788834786,436027518,218005,0,1
1788834787,437037201,218510,0,1
1788834788,438043648,219013,0,1
1788834789,439051825,219517,0,1
1788834790,440063607,220023,0,1
1788834791,441073415,220528,0,1
1788834792,442083753,221033,0,1
1788834793,443097417,221540,0,1
1788834794,444107962,222045,0,1
1788834795,445117305,222550,0,1
1788834797,446127173,223055,0,1
1788834798,447137501,223560,0,1
1788834799,448149692,224066,0,1
1788834800,449165603,224574,0,1
1788834801,450173963,225078,0,1
1788834802,451183609,225583,0,1
1788834803,452195395,226089,0,1
1788834804,453209024,226596,0,1
1788834805,454219118,227101,0,1
1788834806,455229509,227606,0,1
1788834807,456239487,228111,0,1
1788834808,457249945,228616,0,1
1788834809,458259946,229121,0,1
1788834810,459367196,229675,0,1
1788834811,460279442,230131,0,1
1788834812,461389827,230686,0,1
1788834813,462397589,231190,0,1
1788834814,463409190,231696,0,1
1788834815,464421462,232202,0,1
1788834816,465433935,232708,0,1
1788834817,466445255,233214,0,1
1788834818,467453597,233718,0,1
1788834819,468463323,234223,0,1
1788834820,469469907,234726,0,1
1788834821,470479456,235231,0,1
1788834822,471487250,235735,0,1
1788834823,472499469,236241,0,1
1788834824,473509442,236746,0,1
1788834825,474521318,237252,0,1
1788834826,475533775,237758,0,1
1788834827,476541155,238262,0,1
1788834828,477553149,238768,0,1
1788834829,478563998,239273,0,1
1788834830,479575832,239779,0,1
1788834831,480587702,240285,0,1
1788834832,481601454,240792,0,1
1788834833,482611572,241297,0,1
1788834834,483623258,241803,0,1
1788834835,484635267,242309,0,1
1788834836,485645166,242814,0,1
1788834837,486655719,243319,0,1
1788834838,487664025,243823,0,1
1788834839,488675296,244329,0,1
1788834840,489683958,244833,0,1
1788834841,490695678,245339,0,1
1788834842,491705550,245844,0,1
1788834843,492717331,246350,0,1
1788834844,493725966,246854,0,1
1788834845,494737405,247360,0,1
1788834846,495749716,247866,0,1
1788834847,496763911,248373,0,1
1788834848,497773344,248878,0,1
1788834849,498782014,249382,0,1
1788834850,499795337,249889,0,1
1788834851,500805952,250394,0,1
1788834852,501819318,250901,0,1
1788834853,502831326,251407,0,1
1788834854,503841438,251912,0,1
1788834855,504853887,252418,0,1
1788834856,505865382,252924,0,1
1788834857,506877276,253430,0,1
1788834858,507886083,253934,0,1
1788834859,508901491,254442,0,1
