ts_us,scan_count,devices_healthy
115603204,57793,1
115805735,57894,1
116007762,57995,1
116211167,58097,1
116413169,58198,1
116615350,58299,1
116919723,58451,1
117123306,58553,1
117325573,58654,1
117527764,58755,1
117731047,58857,1
117931864,58957,1
118133951,59058,1
118335649,59159,1
118537862,59260,1
118739834,59361,1
118941724,59462,1
119143885,59563,1
119347000,59665,1
119549093,59766,1
119751675,59867,1
119955034,59969,1
120257412,60120,1
120459577,60221,1
120661792,60322,1
120863931,60423,1
121065945,60524,1
121267828,60625,1
121471307,60727,1
121675363,60829,1
121877234,60930,1
122079576,61031,1
122283836,61133,1
122487239,61235,1
122689267,61336,1
122891177,61437,1
123093934,61538,1
123297240,61640,1
123499360,61741,1
123803678,61893,1
124007066,61995,1
124209924,62096,1
124413486,62198,1
124615731,62299,1
124819026,62401,1
125021095,62502,1
125223226,62603,1
125425306,62704,1
125627383,62805,1
125829485,62906,1
126031430,63007,1
126233428,63108,1
126435428,63209,1
126637407,63310,1
126839773,63411,1
127145229,63564,1
127347559,63665,1
127547938,63765,1
127751198,63867,1
127953437,63968,1
128157027,64070,1
128359617,64171,1
128561721,64272,1
128765371,64374,1
128967892,64475,1
129171101,64577,1
129373241,64678,1
129575302,64779,1
129777614,64880,1
129981167,64982,1
130183361,65083,1
130385366,65184,1
130689388,65336,1
130891461,65437,1
131093577,65538,1
131297370,65640,1
131499842,65741,1
131703426,65843,1
131905093,65944,1
132107451,66045,1
132309561,66146,1
132509931,66246,1
132711512,66347,1
132913501,66448,1
133115645,66549,1
133317695,66650,1
133520005,66751,1
133823852,66903,1
134027024,67005,1
134227859,67105,1
134429805,67206,1
134633032,67308,1
134835205,67409,1
135035444,67509,1
135237526,67610,1
135439030,67711,1
135641472,67812,1
135843711,67913,1
136047298,68015,1
136249716,68116,1
136453789,68218,1
136655568,68319,1
136857690,68420,1
137161974,68572,1
137365367,68674,1
137567455,68775,1
137769349,68876,1
137971563,68977,1
138173632,69078,1
138377569,69180,1
138579672,69281,1
138781390,69382,1
138983811,69483,1
139187331,69585,1
139389049,69686,1
139591478,69787,1
139795500,69889,1
139997758,69990,1
140201030,70092,1
140503235,70243,1
140705870,70344,1
140909326,70446,1
141111869,70547,1
141313290,70648,1
141515757,70749,1
141719174,70851,1
141921306,70952,1
142123417,71053,1
142327058,71155,1
142529359,71256,1
142731649,71357,1
142933809,71458,1
143135640,71559,1
143337772,71660,1
143541229,71762,1
143743274,71863,1
144043909,72013,1
144247371,72115,1
144449395,72216,1
144653249,72318,1
144855476,72419,1
145057626,72520,1
145259633,72621,1
145461939,72722,1
145663874,72823,1
145867076,72925,1
146069065,73026,1
146271593,73127,1
146473846,73228,1
146677201,73330,1
146879691,73431,1
147081868,73532,1
147385432,73684,1
