t,ts_us,scan_rate,rpm_master,rpm_follower,rpm_output,pos0,pos1,rev1,ferr1_cnt,ferr1_deg,engaged,ratio,sync_err_cnt,sync_err_deg,demo_auto,demo_speed,jog1,trip1,g_trip_fb,fault0,fault1,state0,state1,lockout,run_ok,ao1,ai1,valve_cmd_v,valve_fb_v,coupler_ok,servo_ok
17.53,46523311,500.1,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
17.73,46727190,500.3,0.0,0.0,0.0,-8,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
17.93,46929595,499.0,0.0,-0.0,-0.0,-16,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
18.13,47133673,499.8,0.0,0.0,0.0,-12,-28,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
18.33,47337387,500.7,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
18.54,47541070,500.8,0.0,-0.0,-0.0,-16,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
18.74,47642830,501.2,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
18.94,47845149,499.2,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
19.14,48046731,501.0,0.0,0.0,0.0,-12,-28,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
19.34,48249499,498.1,-0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
19.54,48451321,500.4,0.0,0.0,0.0,-12,-36,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
19.74,48653236,500.2,-0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
19.94,48855469,499.4,0.0,0.0,0.0,-12,-40,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
20.15,49057371,500.2,0.0,0.0,0.0,-12,-32,0.0,0,0.0,0,,,,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,0,1
